seed,family,hour,algo,carbon,latency_ms,hops,reroute_pct,deltaC_pct,deltaL_pct,emissions_proxy,deltaE_pct
45,ospf_metric,16,C,903.8394586679366,30.32368411919595,4.395,13.0,17.8055976423266,21.041819861999514,2.2679438850301117,16.08276750782587
45,ospf_metric,17,C,889.3042480192728,30.482155792971575,4.42,17.0,17.41751912701683,21.674384814034354,2.2404745094990686,15.07968636953344
45,ospf_metric,18,C,880.5120930324332,30.424149555406633,4.405,13.0,17.449782031180064,21.442843668485896,2.2074199253927627,15.660149043977759
45,ospf_metric,19,C,888.0922653186198,30.50541456944237,4.425,11.5,17.413506807419537,21.767225928614035,2.2331918242034736,15.522136720093961
45,ospf_metric,20,C,909.5691919790571,30.271139125974447,4.4,13.0,17.043152971529445,20.832078143969248,2.277236359597022,15.160965838549437
45,ospf_metric,21,C,952.3178182665564,30.431846660082762,4.41,12.0,17.057827795273216,21.473567888999632,2.386909885170578,15.583974167580706
45,ospf_metric,22,C,990.5587458840903,30.11479025791381,4.385,10.0,17.495596406474206,20.207986709398376,2.4795580278589817,16.18286952662749
45,ospf_metric,23,C,1038.9342034091878,30.4442000165311,4.42,11.5,17.628164032427794,21.522878280838334,2.592439283514227,16.383836311193548
45,ospf_metric,0,C+IncD,1243.140069847471,26.28341980820596,3.875,0.0,6.7747975529225135,4.914460699326533,2.7088512581016033,17.125154438939
45,ospf_metric,1,C+IncD,1318.9056400981606,26.696095326238186,3.88,19.5,6.218220508413487,6.561720825067435,2.8650354696358367,17.10965803642162
45,ospf_metric,2,C+IncD,1343.4063646981633,26.587266515658538,3.91,16.0,7.440017915789172,6.127313276360693,2.9361728933698634,17.63408357129696
45,ospf_metric,3,C+IncD,1399.1249838644696,26.804755942169745,3.94,10.0,8.252778022667556,6.9954569980199715,3.039345984072085,18.49213110096701
45,ospf_metric,4,C+IncD,1460.9540697736409,26.88343248593902,3.92,20.5,6.487298337977339,7.30950696638305,3.144955725969679,17.9414044698994
45,ospf_metric,5,C+IncD,1490.8823235241207,27.086814157855493,3.95,9.5,6.274428562384272,8.121337336287278,3.1961901586951575,18.28580315056656
45,ospf_metric,6,C+IncD,1508.3297654320122,26.981275411995103,3.945,10.0,5.62584620577282,7.700062605463662,3.188620193120173,18.55589335511378
45,ospf_metric,7,C+IncD,1485.2216019444213,27.084955396443505,3.97,10.0,6.583061055624977,8.113917793757027,3.1504552027187622,19.476400106422172
45,ospf_metric,8,C+IncD,1463.0916986547347,27.125614611747384,3.955,10.0,6.063041515666925,8.276215534202981,3.1163694458912956,18.597902197935202
45,ospf_metric,9,C+IncD,1418.9295023752948,26.889342480549224,3.93,11.5,6.510653374713701,7.333097652138173,3.052408329006152,18.0894815480573
45,ospf_metric,10,C+IncD,1351.8773451429379,26.631331147966254,3.9,22.0,8.008386980386156,6.303204281725026,2.9746109838563286,17.77028666548047
45,ospf_metric,11,C+IncD,1302.5802520449306,26.62354414208981,3.9,9.5,7.603394623894476,6.272121206236705,2.8508520763048346,17.523472388510342
45,ospf_metric,12,C+IncD,1213.8792170243032,26.621499955269996,3.9,9.0,8.3502636768033,6.263961508627555,2.6832346393230595,17.827614170922672
45,ospf_metric,13,C+IncD,1181.3284153456925,26.377093770892024,3.89,14.5,6.3795027136044276,5.2883752564310464,2.552949437216779,17.530211985755436
45,ospf_metric,14,C+IncD,1125.7696811565145,26.25399160112172,3.88,6.0,6.110452215655916,4.796993318821227,2.447446200093535,16.84396464633505
45,ospf_metric,15,C+IncD,1075.9661420304167,26.190642191107372,3.865,6.5,5.884131248597381,4.544124048544585,2.361144321555352,15.730026946040484
45,ospf_metric,16,C+IncD,1028.1583893831778,26.17455254182625,3.88,10.5,6.500138344340374,4.479899648162598,2.2487173577607575,16.794177066734818
45,ospf_metric,17,C+IncD,1012.7146185765451,26.148254246547282,3.865,14.0,5.957397814459195,4.374925809650025,2.2334515628230154,15.345875889571237
45,ospf_metric,18,C+IncD,997.2937527826537,26.03445902938528,3.865,8.5,6.5012084188172325,3.9206940572436304,2.2055059163259325,15.733278418940797
45,ospf_metric,19,C+IncD,1014.3172810429071,25.96578965885344,3.845,7.0,5.67544556205193,3.6465893163658505,2.2550433885137164,14.695529062728395
45,ospf_metric,20,C+IncD,1033.7021269645163,26.184039995021326,3.86,13.0,5.721664744363405,4.517770330236495,2.285166117819794,14.865540628988475
45,ospf_metric,21,C+IncD,1074.169724848233,26.30618423455468,3.885,7.5,6.445129360660055,5.005328536576541,2.3524564465280857,16.80246271820835
45,ospf_metric,22,C+IncD,1125.057581739932,26.247985341879268,3.87,5.0,6.2930844076470125,4.7730183774383965,2.4561860492611425,16.972918461778832
45,ospf_metric,23,C+IncD,1172.1977329632077,26.408363524393838,3.89,6.5,7.062373089302933,5.413193463071699,2.551293959997924,17.71093165651032
45,ospf_metric,0,CE,1250.2040176583496,33.494785345359226,4.855,0.0,6.245060011097849,33.699775995319065,2.933677393785636,10.24680288044029
45,ospf_metric,1,CE,1324.075308681112,33.35303984640223,4.825,10.0,5.850627327862041,33.133976236834556,3.0961473440748093,10.42319900053227
45,ospf_metric,2,CE,1355.7078783357415,33.05511093307581,4.83,14.0,6.592450186601927,31.944745478566972,3.1859594063598173,10.627038754418036
